name,popularity,track_number,type,duration_ms,artists_list,release_date,artist_name,artist_popularity,artist_followers,artist_genres,artist_main_artist
Alejandro,70,2,track,274213,Lady Gaga,2009-08-05,Lady Gaga,82,28321662,"['art pop', 'dance pop', 'pop']",True
Million Reasons,59,7,track,205280,Lady Gaga,2016-10-21,Lady Gaga,82,28321662,"['art pop', 'dance pop', 'pop']",True
No soy Eterno,86,3,track,151468,"Bizarrap,Milo j",2023-10-04,Bizarrap,84,13073464,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",True
Side To Side,79,5,track,226160,"Ariana Grande,Nicki Minaj",2016-04-01,Ariana Grande,85,94489318,['pop'],True
God is a woman,80,5,track,197546,Ariana Grande,2018-08-17,Ariana Grande,85,94489318,['pop'],True
"thank u, next",83,11,track,207320,Ariana Grande,2019-02-08,Ariana Grande,85,94489318,['pop'],True
Just Look Up (From Don’t Look Up),64,1,track,201667,"Ariana Grande,Kid Cudi",2021-12-03,Ariana Grande,85,94489318,['pop'],True
Problem,77,2,track,193920,"Ariana Grande,Iggy Azalea",2014-08-25,Ariana Grande,85,94489318,['pop'],True
Same Old Love,73,4,track,229080,Selena Gomez,2015-10-09,Selena Gomez,81,46174412,"['pop', 'post-teen pop']",True
Good For You,70,6,track,221280,"Selena Gomez,A$AP Rocky",2015-10-09,Selena Gomez,81,46174412,"['pop', 'post-teen pop']",True
Let Me Get Me,59,8,track,189145,Selena Gomez,2020-01-10,Selena Gomez,81,46174412,"['pop', 'post-teen pop']",True
Perfect,55,14,track,242640,Selena Gomez,2015-10-09,Selena Gomez,81,46174412,"['pop', 'post-teen pop']",True
Not You Too (feat. Chris Brown),79,4,track,269680,"Drake,Chris Brown",2020-05-01,Drake,95,81345795,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",True
With You,77,4,track,252120,Chris Brown,2007-11-06,Chris Brown,83,20691782,"['pop rap', 'r&b', 'rap']",True
Yo (Excuse Me Miss),75,3,track,229040,Chris Brown,2005,Chris Brown,83,20691782,"['pop rap', 'r&b', 'rap']",True
Loyal (feat. Lil Wayne & Tyga),77,3,track,264946,"Chris Brown,Lil Wayne,Tyga",2014-09-16,Chris Brown,83,20691782,"['pop rap', 'r&b', 'rap']",True
Next To You (feat. Justin Bieber),73,8,track,265813,"Chris Brown,Justin Bieber",2011-03-22,Chris Brown,83,20691782,"['pop rap', 'r&b', 'rap']",True
Say Goodbye,70,13,track,289760,Chris Brown,2005,Chris Brown,83,20691782,"['pop rap', 'r&b', 'rap']",True
Beautiful Mistakes (feat. Megan Thee Stallion),80,1,track,227395,"Maroon 5,Megan Thee Stallion",2021-06-11,Maroon 5,82,41534296,['pop'],True
Daylight,76,6,track,225066,Maroon 5,2012-01-01,Maroon 5,82,41534296,['pop'],True
Sunday Morning,78,8,track,244880,Maroon 5,2002,Maroon 5,82,41534296,['pop'],True
What Lovers Do (feat. SZA),75,2,track,199849,"Maroon 5,SZA",2018-06-15,Maroon 5,82,41534296,['pop'],True
Girls Like You,74,9,track,215229,Maroon 5,2018-06-15,Maroon 5,82,41534296,['pop'],True
AMERICA HAS A PROBLEM,76,14,track,198897,Beyoncé,2022-07-29,Beyoncé,83,36174736,"['pop', 'r&b']",True
ALIEN SUPERSTAR,78,3,track,215459,Beyoncé,2022-07-29,Beyoncé,83,36174736,"['pop', 'r&b']",True
Run the World (Girls),75,11,track,236093,Beyoncé,2011-06-24,Beyoncé,83,36174736,"['pop', 'r&b']",True
Sweet Dreams,68,7,track,207480,Beyoncé,2008,Beyoncé,83,36174736,"['pop', 'r&b']",True
COZY,74,2,track,210372,Beyoncé,2022-07-29,Beyoncé,83,36174736,"['pop', 'r&b']",True
ENERGY (feat. Beam),77,5,track,116727,"Beyoncé,BEAM",2022-07-29,Beyoncé,83,36174736,"['pop', 'r&b']",True
Streets,84,9,track,226986,Doja Cat,2019-11-07,Doja Cat,87,27056797,"['dance pop', 'pop']",True
Vegas (From the Original Motion Picture Soundtrack ELVIS),80,1,track,182906,Doja Cat,2022-05-06,Doja Cat,87,27056797,"['dance pop', 'pop']",True
You Right,83,8,track,186173,"Doja Cat,The Weeknd",2021-06-25,Doja Cat,87,27056797,"['dance pop', 'pop']",True
Wine Pon You (feat. Konshens),78,4,track,219000,"Doja Cat,Konshens",2018-03-30,Doja Cat,87,27056797,"['dance pop', 'pop']",True
Need to Know,82,5,track,210560,Doja Cat,2021-06-25,Doja Cat,87,27056797,"['dance pop', 'pop']",True
motive (with Doja Cat),78,3,track,167989,"Ariana Grande,Doja Cat",2020-10-30,Ariana Grande,85,94489318,['pop'],True
Rich Nigga Shit (feat. Young Thug),84,5,track,190331,"21 Savage,Metro Boomin,Young Thug",2020-10-02,21 Savage,87,15351817,"['atl hip hop', 'hip hop', 'rap']",True
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",82,6,track,219453,"Metro Boomin,Swae Lee,NAV,A Boogie Wit da Hoodie",2023-06-02,Metro Boomin,85,5947390,['rap'],True
Overdue (with Travis Scott),81,2,track,166093,"Metro Boomin,Travis Scott",2018-11-06,Metro Boomin,85,5947390,['rap'],True
10 Freaky Girls (with 21 Savage),80,6,track,208293,"Metro Boomin,21 Savage",2018-11-06,Metro Boomin,85,5947390,['rap'],True
X ÚLTIMA VEZ,77,6,track,192477,"Daddy Yankee,Bad Bunny",2022-03-25,Daddy Yankee,83,33804366,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",True
brrr,49,1,track,152307,Kim Petras,2023-01-20,Kim Petras,73,998311,"['alt z', 'pop', 'transpop']",True
All Falls Down,83,4,track,223506,"Kanye West,Syleena Johnson",2004-02-10,Kanye West,88,21786460,"['chicago rap', 'hip hop', 'rap']",True
Homecoming,85,12,track,203493,"Kanye West,Chris Martin",2007-09-11,Kanye West,88,21786460,"['chicago rap', 'hip hop', 'rap']",True
Ghost Town,81,6,track,271386,"Kanye West,PARTYNEXTDOOR",2018-06-01,Kanye West,88,21786460,"['chicago rap', 'hip hop', 'rap']",True
Follow God,77,3,track,104591,Kanye West,2019-10-25,Kanye West,88,21786460,"['chicago rap', 'hip hop', 'rap']",True
Runaway,84,9,track,547733,"Kanye West,Pusha T",2010-11-22,Kanye West,88,21786460,"['chicago rap', 'hip hop', 'rap']",True
rockstar (feat. 21 Savage),86,6,track,218146,"Post Malone,21 Savage",2018-04-27,Post Malone,86,42520568,"['dfw rap', 'melodic rap', 'pop', 'rap']",True
Overdrive,77,1,track,147679,Post Malone,2023-07-14,Post Malone,86,42520568,"['dfw rap', 'melodic rap', 'pop', 'rap']",True
Something Real,75,2,track,205287,Post Malone,2023-07-28,Post Malone,86,42520568,"['dfw rap', 'melodic rap', 'pop', 'rap']",True
One Right Now (with The Weeknd),77,1,track,193506,"Post Malone,The Weeknd",2021-11-05,Post Malone,86,42520568,"['dfw rap', 'melodic rap', 'pop', 'rap']",True
bad guy,85,2,track,194087,Billie Eilish,2019-03-29,Billie Eilish,86,88246007,"['art pop', 'pop']",True
Therefore I Am,75,1,track,174321,Billie Eilish,2020-11-12,Billie Eilish,86,88246007,"['art pop', 'pop']",True
Oxytocin,65,5,track,210232,Billie Eilish,2021-07-30,Billie Eilish,86,88246007,"['art pop', 'pop']",True
ocean eyes,84,7,track,200379,Billie Eilish,2017-12-22,Billie Eilish,86,88246007,"['art pop', 'pop']",True
The 30th,76,2,track,216448,Billie Eilish,2022-07-21,Billie Eilish,86,88246007,"['art pop', 'pop']",True
Make You Feel My Love,79,9,track,212040,Adele,2008-01-27,Adele,83,52229537,"['british soul', 'pop', 'pop soul', 'uk pop']",True
When We Were Young,81,4,track,290900,Adele,2015-11-20,Adele,83,52229537,"['british soul', 'pop', 'pop soul', 'uk pop']",True
I Drink Wine,78,7,track,376169,Adele,2021-11-19,Adele,83,52229537,"['british soul', 'pop', 'pop soul', 'uk pop']",True
Send My Love (To Your New Lover),76,2,track,223078,Adele,2015-11-20,Adele,83,52229537,"['british soul', 'pop', 'pop soul', 'uk pop']",True
Water Under the Bridge,75,6,track,240439,Adele,2015-11-20,Adele,83,52229537,"['british soul', 'pop', 'pop soul', 'uk pop']",True
Call You Mine,73,7,track,217640,"The Chainsmokers,Bebe Rexha",2019-12-06,The Chainsmokers,77,20390037,['pop'],True
Say My Name,72,5,track,198946,"David Guetta,Bebe Rexha,J Balvin",2018-09-14,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",True
Last Hurrah,64,1,track,150333,Bebe Rexha,2019-02-15,Bebe Rexha,77,8608960,"['dance pop', 'pop']",True
Satellite,59,1,track,208362,"Bebe Rexha,Snoop Dogg",2023-04-20,Bebe Rexha,77,8608960,"['dance pop', 'pop']",True
Seasons,58,12,track,203427,"Bebe Rexha,Dolly Parton",2023-04-27,Bebe Rexha,77,8608960,"['dance pop', 'pop']",True
